data_entry,item_code,item_group,variant,kilogram_tray,class,sku,fg,primary_packaging,secondary_packaging,prod_date,left,exp_date,status,storage_num,inventory_head,inventory_head2,received_by,qty_head,qty_kilo,balance_head,balance_kilo 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,04-Apr-25,226,04-Feb-26,FG AVAILABLE,null,419,457,TR00098293/RR00420,0,0,419,457 
FZ THIGH FILLET SKIN ON 0.5SPSK,FF_FZSP0267SK0.50ON,FILLET,FROZEN,0.5,-,THIGH FILLET,THIGH FILLET SKIN ON - 0.5KG SUNNY PACK,SUNNY PACK,PLAIN SACK,04-Apr-25,226,04-Feb-26,FG AVAILABLE,null,518,298.8,TR00098293/RR00420,0,0,518,298.8 
FZ BREAST FILLET SKIN OFF 1CPSK,FF_FZCP0239SK1.00OF,FILLET,FROZEN,1,-,BREAST FILLET,BREAST FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,04-Apr-25,226,04-Feb-26,FG AVAILABLE,null,"1,864","1,454.80",TR00098292/RR00419/RR00417,726,796,"1,138",658.8 
FZ DRUMSTICK 1CPSK,CC_FZCP0113SK1.00ON,CHOICE CUT,FROZEN,1,-,DRUMSTICK,DRUMSTICK SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,04-Apr-25,226,04-Feb-26,FG AVAILABLE,null,382,416.1,TR00098292/RR00419,0,0,382,416.1 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,03-Apr-25,225,03-Feb-26,FG AVAILABLE,null,463,501,TR00098292/RR00419,0,0,463,501 
FZ LEG QUARTER FILLET SKIN OFF 1CPSK,FF_FZCP0241SK1.00OF,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,458,500,TR00098345/RR00422,0,0,458,500 
FZ LEG QUARTER FILLET SKIN ON 0.5SPSK,FF_FZSP0265SK0.50ON,FILLET,FROZEN,0.5,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN ON - 0.5KG SUNNY PACK,SUNNY PACK,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,564,325,TR00098345/RR00422,0,0,564,325 
FZ WHOLE BREAST 0.5SPSK,CC_FZSP0156SK0.50ON,CHOICE CUT,FROZEN,0.5,-,WHOLE BREAST,WHOLE BREAST SKIN ON - 0.5KG SUNNY PACK,SUNNY PACK,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,750,400,TR00098345/RR00422,0,0,750,400 
FZ LIVER SC 0.5SPSK,BP_FZSP0159SK-0.50SC,BY PRODUCT,FROZEN,0.5,-,LIVER,LIVER -KG 0.5 SUNNY PACK,SUNNY PACK,PLAIN SACK,07-Apr-25,14,07-Jul-25,EXPIRES SOON,null,200,100,TR00098345/RR00422,0,0,200,100 
FZ NECK PR 1SPSK,BP_FZSP0208SK-1.00PR,BY PRODUCT,FROZEN,1,-,NECK,NECK -KG 1 SUNNY PACK,SUNNY PACK,PLAIN SACK,07-Apr-25,14,07-Jul-25,EXPIRES SOON,null,100,100,TR00098345/RR00422,0,0,100,100 
FZ GOOD FEET PR 1SPSK,BP_FZSP0203SK-1.00PR,BY PRODUCT,FROZEN,1,-,GOOD FEET,GOOD FEET -KG 1 SUNNY PACK,SUNNY PACK,PLAIN SACK,07-Apr-25,14,07-Jul-25,EXPIRES SOON,null,77,77,TR00098345/RR00422,0,0,77,77 
FZA 1.5-SPNLSK,DC_FZSP0143SKA1.5NL,DRESSED CHICKEN,FROZEN,1.5,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OS PRIME A 1.5 SUNNY PACK - JUMBO,SUNNY PACK - JUMBO,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,100,156.2,TR00098345/RR00422,0,0,100,156.2 
FZ ADOBO CUT 1SPSK,CC_FZSP0159SK1.00ON,CHOICE CUT,FROZEN,1,-,ADOBO CUT,ADOBO CUT SKIN ON - 1KG SUNNY PACK,SUNNY PACK,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,289,300,TR00098345/RR00422,0,0,289,300 
FZ LEG QUARTER FILLET SKIN ON 1CPSK,FF_FZCP0242SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,505,506.7,TR00098345/RR00422,0,0,505,506.7 
FZ BREAST FILLET SKIN OFF 1CPSK,FF_FZCP0239SK1.00OF,FILLET,FROZEN,1,-,BREAST FILLET,BREAST FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,07-Apr-25,229,07-Feb-26,FG AVAILABLE,null,"1,209","1,328.10",TR00098345/RR00422,0,0,"1,209","1,328.10" 
FZ GOOD TRIMMINGS SC 1CPSK,BP_FZCP0180SK-1.00SC,BY PRODUCT,FROZEN,1,-,GOOD TRIMMINGS,GOOD TRIMMINGS -KG 1 CLEAR PACK,CLEAR PACK,PLAIN SACK,07-Apr-25,14,07-Jul-25,EXPIRES SOON,null,27,28.9,TR00098345/RR00422,0,0,27,28.9 
FZ THIGH FILLET SKIN OFF 1CPSK,FF_FZCP0245SK1.00OF,FILLET,FROZEN,1,-,THIGH FILLET,THIGH FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,04-Apr-25,226,04-Feb-26,FG AVAILABLE,null,47,50.3,TR00098292/RR00419,47,50.3,0,0 
  
